cluster,startdate,type
2,2001-01-13,E
2,2001-01-19,E
2,2001-02-13,E
2,2001-02-28,E
2,2001-04-29,E
2,2001-05-20,E
2,2001-08-25,E
2,2001-10-17,E
2,2001-11-09,E
2,2001-11-13,E
2,2001-11-28,E
3,2001-03-15,E
3,2001-04-09,E
3,2001-04-13,E
3,2001-06-19,E
3,2001-06-23,E
3,2001-06-23,E
3,2001-06-26,E
3,2001-06-26,E
3,2001-06-29,E
3,2001-07-05,E
3,2001-07-07,E
3,2001-07-24,E
4,2001-01-10,E
4,2001-01-11,E
4,2001-02-17,E
4,2001-02-28,E
4,2001-07-28,E
4,2001-09-14,E
4,2001-10-12,E
5,2001-01-01,E
5,2001-01-01,E
5,2001-01-02,E
5,2001-01-16,E
5,2001-01-16,E
5,2001-01-26,E
5,2001-01-29,E
5,2001-02-13,E
5,2001-02-16,E
5,2001-02-24,E
5,2001-02-24,E
5,2001-02-25,E
5,2001-03-14,E
5,2001-03-15,E
5,2001-03-19,E
5,2001-04-04,E
5,2001-05-25,E
5,2001-05-28,E
5,2001-07-22,E
5,2001-07-26,E
5,2001-08-23,E
5,2001-08-27,E
5,2001-09-02,E
5,2001-09-11,E
5,2001-09-18,E
5,2001-10-07,E
5,2001-10-13,E
5,2001-10-19,E
5,2001-11-14,E
5,2001-11-20,E
5,2001-11-23,E
5,2001-12-08,E
5,2001-12-09,E
5,2001-12-18,E
6,2001-01-19,E
7,2001-01-15,E
7,2001-02-18,E
9,2001-06-15,E
10,2001-01-02,E
10,2001-01-09,E
10,2001-01-19,E
10,2001-02-14,E
10,2001-02-14,E
10,2001-02-28,E
10,2001-02-28,E
10,2001-03-06,E
10,2001-04-07,E
10,2001-04-19,E
10,2001-04-19,E
10,2001-04-19,E
10,2001-04-28,E
10,2001-05-07,E
10,2001-05-09,E
10,2001-05-19,E
10,2001-05-26,E
10,2001-05-29,E
10,2001-06-03,E
10,2001-06-05,E
10,2001-06-05,E
10,2001-06-16,E
10,2001-07-01,E
10,2001-07-04,E
10,2001-07-08,E
10,2001-08-06,E
10,2001-08-21,E
10,2001-09-02,E
10,2001-09-12,E
10,2001-09-15,E
10,2001-09-29,E
10,2001-09-30,E
10,2001-10-02,E
10,2001-10-21,E
10,2001-10-26,E
10,2001-10-31,E
10,2001-11-05,E
10,2001-11-22,E
10,2001-11-22,E
10,2001-11-27,E
10,2001-12-02,E
10,2001-12-03,E
10,2001-12-12,E
10,2001-12-12,E
10,2001-12-22,E
10,2001-12-23,E
10,2001-12-27,E
11,2001-03-07,E
11,2001-07-04,E
11,2001-11-15,E
11,2001-12-28,E
12,2001-02-01,E
12,2001-02-26,E
12,2001-03-23,E
12,2001-03-24,E
12,2001-04-14,E
12,2001-04-26,E
12,2001-05-25,E
12,2001-06-14,E
12,2001-06-15,E
12,2001-06-24,E
12,2001-07-03,E
12,2001-08-02,E
12,2001-08-13,E
12,2001-10-08,E
12,2001-10-08,E
12,2001-10-12,E
12,2001-11-13,E
12,2001-11-13,E
12,2001-12-02,E
10,2001-01-16,V
10,2001-02-19,V
10,2001-06-08,V
10,2001-08-28,V
10,2001-09-27,V
11,2001-11-24,V
11,2001-11-26,V
12,2001-01-11,V
12,2001-02-02,V
12,2001-04-24,V
12,2001-07-23,V
12,2001-09-21,V
12,2001-10-05,V
12,2001-11-15,V
12,2001-12-10,V
13,2001-07-17,V
13,2001-12-01,V
2,2001-01-17,V
2,2001-04-23,V
2,2001-05-11,V
2,2001-10-31,V
2,2001-12-04,V
3,2001-09-01,V
3,2001-10-01,V
5,2001-01-08,V
5,2001-01-11,V
5,2001-04-13,V
5,2001-05-12,V
5,2001-05-28,V
5,2001-06-14,V
5,2001-07-21,V
5,2001-09-25,V
7,2001-03-27,V
7,2001-06-11,V
8,2001-05-03,V
9,2001-02-06,V
