"","long","lat"
"1",-103.848174327957,33.9769080645161
"2",144.182687523277,18.2919772811918
"3",64.5984458181818,-32.5226109090909
"4",-65.3398234256927,-32.0009243073048
"5",-98.52347066787,-26.152764666065
"6",-145.683683400268,58.9253428380187
"7",127.390106716418,-1.0771762793177
"8",143.834782657658,40.3391364864865
"9",119.753168169761,26.5021399204244
"10",9.15232453531599,37.1633526022305
"11",99.8836479279279,-0.453237117117117
"12",158.683885502959,-9.73360673076923
"13",-97.3930608291032,50.5084577834179
"14",69.9386877817319,33.3959721233689
"15",-70.4161045576408,14.6193310098302
